,confidence,feedback,corrcted feedback,intent,response,utterance,
4,0.67,0,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is the Wellness?,
7,1,0,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is the mailroom?,
11,0.76,0,,Hospitality_GS_Restaurants_information,"<b>Restaurants available:</b><br> If you are based in Rhodanie you have various options. Le 5 is a shop where you can have a quick bite located on the 5th floor, Le Grand Restaurant located on the 4th floor and in finally on the ground floor the Wellness for a healthy and balanced meal. More about restaurants under this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a> <br><br> <b>Menus:</b> <br> You can find daily and weekly information about our menus on our e-gourmet website which you can access through this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a>",What time can I eat?,
14,0.78,0,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is the switchboard?,
15,0.9,0,,Hospitality_GS_Restaurants_information,"<b>Restaurants available:</b><br> If you are based in Rhodanie you have various options. Le 5 is a shop where you can have a quick bite located on the 5th floor, Le Grand Restaurant located on the 4th floor and in finally on the ground floor the Wellness for a healthy and balanced meal. More about restaurants under this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a> <br><br> <b>Menus:</b> <br> You can find daily and weekly information about our menus on our e-gourmet website which you can access through this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a>",How many restaurants are available in Rhodanie?,
17,1,0,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is the mailroom?,
28,1,0,,General_Greetings,"I was getting bored, but now you are here.",HOw are you today?,
31,1,0,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is Interact?,
44,1,0,,Feedback,I am happy to hear that,YES,
46,1,1,,Feedback,I am happy to hear that,YES,
48,0.43,0,,Hospitality_GS_Restaurants_information,"<b>Restaurants available:</b><br> If you are based in Rhodanie you have various options. Le 5 is a shop where you can have a quick bite located on the 5th floor, Le Grand Restaurant located on the 4th floor and in finally on the ground floor the Wellness for a healthy and balanced meal. More about restaurants under this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a> <br><br> <b>Menus:</b> <br> You can find daily and weekly information about our menus on our e-gourmet website which you can access through this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a>",Where can I find food?,
50,0.79,1,,General_Agent_Purpose,"I can help you mainly with GS service-related questions on topics like transportation (your mobility plan/benefit car), business travel, hospitality and events, gym, mailroom etc. I know also a little about P&C (benfits, destination services) and IS services. ",Can you do anything else?,
51,1,1,,Feedback,I am sorry to hear that,NO,
52,1,1,,Feedback,I am sorry to hear that,NO,
54,0.83,0,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is the grand restaurant?,
58,0.51,0,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is the media room?,
63,0.69,0,,General_Greetings,"I was getting bored, but now you are here.","Hello Julie, how are you ?",
68,0.8,0,,General_Greetings,"I was getting bored, but now you are here.",How are you? ,
72,0.36,1,,Hospitality_GS_Restaurants_information,"<b>Restaurants available:</b><br> If you are based in Rhodanie you have various options. Le 5 is a shop where you can have a quick bite located on the 5th floor, Le Grand Restaurant located on the 4th floor and in finally on the ground floor the Wellness for a healthy and balanced meal. More about restaurants under this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a> <br><br> <b>Menus:</b> <br> You can find daily and weekly information about our menus on our e-gourmet website which you can access through this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a>",where can I find my salary payment ,
74,0.46,1,,Hospitality_GS_Restaurants_information,"<b>Restaurants available:</b><br> If you are based in Rhodanie you have various options. Le 5 is a shop where you can have a quick bite located on the 5th floor, Le Grand Restaurant located on the 4th floor and in finally on the ground floor the Wellness for a healthy and balanced meal. More about restaurants under this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a> <br><br> <b>Menus:</b> <br> You can find daily and weekly information about our menus on our e-gourmet website which you can access through this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a>",When can we have a car? ,1
83,1,0,,Feedback,I am happy to hear that,YES,
85,0.97,0,,General_Ending,Bye bye! Thanks for the chat!,"Bye, have a good day",
91,0.56,0,,General_Ending,Bye bye! Thanks for the chat!,"Thank you, bye ! ",
110,0.91,0,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is Rhodanie?,
111,0.42,1,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is the Neuchatel campus?,
112,0.94,1,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is Brillancourt,
113,0.67,1,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is the Patio?,
114,0.86,1,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is the Patio restaurant?,
115,0.6,0,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is the infirmary?,
118,0.93,0,,General_Greetings,"I was getting bored, but now you are here.",How are you feeling today?,
119,0.79,0,,General_Ending,Bye bye! Thanks for the chat!,I am glad that you are happy to hear that,
120,0.44,0,,General_Ending,Bye bye! Thanks for the chat!,Seeya later alligator,
121,0.46,0,,General_Ending,Bye bye! Thanks for the chat!,Ciao,
123,0.35,1,,General_Ending,Bye bye! Thanks for the chat!,I am feeling suicidal,
135,0.7,0,,General_Ending,Bye bye! Thanks for the chat!,Bye Julie,
147,0.96,0,,General_Ending,Bye bye! Thanks for the chat!,"I have to go, have a good day ",
163,0.31,1,,Feedback,I am sorry to hear that,NO : 2:30pm it reopens,
168,0.47,0,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is the registration tool? ,
174,1,0,,Feedback,I am happy to hear that,YES,
177,0.37,1,,Hospitality_GS_Restaurants_information,"<b>Restaurants available:</b><br> If you are based in Rhodanie you have various options. Le 5 is a shop where you can have a quick bite located on the 5th floor, Le Grand Restaurant located on the 4th floor and in finally on the ground floor the Wellness for a healthy and balanced meal. More about restaurants under this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a> <br><br> <b>Menus:</b> <br> You can find daily and weekly information about our menus on our e-gourmet website which you can access through this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a>",Do we have a swimming pool? ,
181,0.61,0,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is the sleeping room ? ,
186,0.9,0,,General_Ending,Bye bye! Thanks for the chat!,Bye ! ,
189,0.57,0,,Hospitality_GS_Restaurants_information,"<b>Restaurants available:</b><br> If you are based in Rhodanie you have various options. Le 5 is a shop where you can have a quick bite located on the 5th floor, Le Grand Restaurant located on the 4th floor and in finally on the ground floor the Wellness for a healthy and balanced meal. More about restaurants under this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a> <br><br> <b>Menus:</b> <br> You can find daily and weekly information about our menus on our e-gourmet website which you can access through this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a>",What do you eat? ,
192,0.54,0,,General_Ending,Bye bye! Thanks for the chat!,Bye ! Thank you ,
202,0.69,0,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is the On My Way?,
203,0.8,0,,General_Greetings,"I was getting bored, but now you are here.",How are you?,
208,0.83,0,,General_Ending,Bye bye! Thanks for the chat!,I have to go ,
209,0.9,0,,General_Ending,Bye bye! Thanks for the chat!,bye,
214,1,0,,Feedback,I am sorry to hear that,NO,
216,0.8,0,,General_Greetings,"I was getting bored, but now you are here.","Hello, how are you? ",
217,0.46,0,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is the heatlhy corner ? ,
219,0.45,1,,Hospitality_GS_Restaurants_information,"<b>Restaurants available:</b><br> If you are based in Rhodanie you have various options. Le 5 is a shop where you can have a quick bite located on the 5th floor, Le Grand Restaurant located on the 4th floor and in finally on the ground floor the Wellness for a healthy and balanced meal. More about restaurants under this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a> <br><br> <b>Menus:</b> <br> You can find daily and weekly information about our menus on our e-gourmet website which you can access through this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a>","I have a problem with my computer, where can I go ?",
221,0.9,0,,General_Ending,Bye bye! Thanks for the chat!,*Bye,
222,0.58,0,,General_Agent_Purpose,"I can help you mainly with GS service-related questions on topics like transportation (your mobility plan/benefit car), business travel, hospitality and events, gym, mailroom etc. I know also a little about P&C (benfits, destination services) and IS services. ",What are you doing? ,
239,0.98,0,,General_Ending,Bye bye! Thanks for the chat!,"I have to go,have a nice day ! ",
245,0.91,0,,General_Greetings,"I was getting bored, but now you are here.",Hey what's up ? ,
258,0.43,1,,General_Greetings,"I was getting bored, but now you are here.",How invoicing works with GS? ,
261,0.39,0,,General_Agent_Purpose,"I can help you mainly with GS service-related questions on topics like transportation (your mobility plan/benefit car), business travel, hospitality and events, gym, mailroom etc. I know also a little about P&C (benfits, destination services) and IS services. ",What is Hertz? ,
265,0.65,0,,General_Ending,Bye bye! Thanks for the chat!,I am coming back in 5 minutes,
268,0.8,0,,General_Greetings,"I was getting bored, but now you are here.",how are you,
280,0.65,0,,General_Agent_Purpose,"I can help you mainly with GS service-related questions on topics like transportation (your mobility plan/benefit car), business travel, hospitality and events, gym, mailroom etc. I know also a little about P&C (benfits, destination services) and IS services. ",Can you tell more about General Services? What it is doing? ,
282,0.76,1,,General_Agent_Purpose,"I can help you mainly with GS service-related questions on topics like transportation (your mobility plan/benefit car), business travel, hospitality and events, gym, mailroom etc. I know also a little about P&C (benfits, destination services) and IS services. ",What kind of IS services can you help with? ,
290,0.83,0,,General_Ending,Bye bye! Thanks for the chat!,I am going home ! ,
292,0.9,0,,General_Ending,Bye bye! Thanks for the chat!,Bye ! ,
297,0.69,0,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is the Printshop? ,
306,1,0,,General_Ending,Bye bye! Thanks for the chat!,See you later  !,
309,0.81,0,,Hospitality_GS_Restaurants_information,"<b>Restaurants available:</b><br> If you are based in Rhodanie you have various options. Le 5 is a shop where you can have a quick bite located on the 5th floor, Le Grand Restaurant located on the 4th floor and in finally on the ground floor the Wellness for a healthy and balanced meal. More about restaurants under this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a> <br><br> <b>Menus:</b> <br> You can find daily and weekly information about our menus on our e-gourmet website which you can access through this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a>",Where can we heat food? ,
311,0.81,0,,Hospitality_GS_Restaurants_information,"<b>Restaurants available:</b><br> If you are based in Rhodanie you have various options. Le 5 is a shop where you can have a quick bite located on the 5th floor, Le Grand Restaurant located on the 4th floor and in finally on the ground floor the Wellness for a healthy and balanced meal. More about restaurants under this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a> <br><br> <b>Menus:</b> <br> You can find daily and weekly information about our menus on our e-gourmet website which you can access through this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a>",Can I pay cash at the restaurant? ,
319,0.34,1,,General_Ending,Bye bye! Thanks for the chat!,What time is it? ,
322,0.52,1,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is the Child Care? ,
338,0.9,0,,General_Ending,Bye bye! Thanks for the chat!,Bye ! ,
349,0.7,0,,General_Ending,Bye bye! Thanks for the chat!,Have a nice weekend  ! ,
355,0.9,0,,General_Ending,Bye bye! Thanks for the chat!,Bye,
361,0.5,1,,Hospitality_GS_Restaurants_information,"<b>Restaurants available:</b><br> If you are based in Rhodanie you have various options. Le 5 is a shop where you can have a quick bite located on the 5th floor, Le Grand Restaurant located on the 4th floor and in finally on the ground floor the Wellness for a healthy and balanced meal. More about restaurants under this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a> <br><br> <b>Menus:</b> <br> You can find daily and weekly information about our menus on our e-gourmet website which you can access through this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a>",Can we have visitors overnight ? ,
364,0.39,0,,General_Agent_Purpose,"I can help you mainly with GS service-related questions on topics like transportation (your mobility plan/benefit car), business travel, hospitality and events, gym, mailroom etc. I know also a little about P&C (benfits, destination services) and IS services. ",which questions ?,
365,0.58,0,,General_Agent_Purpose,"I can help you mainly with GS service-related questions on topics like transportation (your mobility plan/benefit car), business travel, hospitality and events, gym, mailroom etc. I know also a little about P&C (benfits, destination services) and IS services. ",I don't know what to ask you anymore,
373,0.8,0,,General_Greetings,"I was getting bored, but now you are here.",How are you? ,
374,1,1,,Feedback,I am happy to hear that,YES ,
378,0.9,0,,General_Ending,Bye bye! Thanks for the chat!,*bye,
384,0.83,0,,General_Ending,Bye bye! Thanks for the chat!,I have to go ,
385,1,0,,General_Ending,Bye bye! Thanks for the chat!,Bye bye ! ,
386,1,0,,General_Ending,Bye bye! Thanks for the chat!,Have a nice day,
388,0.52,1,,General_Ending,Bye bye! Thanks for the chat!,I am thirsty ,
398,1,1,,Feedback,I am sorry to hear that,NO,
401,1,0,,Feedback,I am sorry to hear that,NO,
403,1,1,,Feedback,I am happy to hear that,YES,
406,0.96,0,,General_Ending,Bye bye! Thanks for the chat!,"See you later, have to go ! ",
415,0.51,1,,Hospitality_GS_Restaurants_information,"<b>Restaurants available:</b><br> If you are based in Rhodanie you have various options. Le 5 is a shop where you can have a quick bite located on the 5th floor, Le Grand Restaurant located on the 4th floor and in finally on the ground floor the Wellness for a healthy and balanced meal. More about restaurants under this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a> <br><br> <b>Menus:</b> <br> You can find daily and weekly information about our menus on our e-gourmet website which you can access through this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a>",Do we have wifi?  ,
418,0.72,0,,General_Ending,Bye bye! Thanks for the chat!,Have to go ,
419,0.9,0,,General_Ending,Bye bye! Thanks for the chat!,Bye,
421,0.56,0,,General_Agent_Purpose,"I can help you mainly with GS service-related questions on topics like transportation (your mobility plan/benefit car), business travel, hospitality and events, gym, mailroom etc. I know also a little about P&C (benfits, destination services) and IS services. ",Do you know about open sourcing? ,
424,0.79,1,,General_Agent_Purpose,"I can help you mainly with GS service-related questions on topics like transportation (your mobility plan/benefit car), business travel, hospitality and events, gym, mailroom etc. I know also a little about P&C (benfits, destination services) and IS services. ",What do you know about Flexability? ,
426,0.39,0,,General_Greetings,"I was getting bored, but now you are here.",How are u feelin ? ,
433,1,0,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is interact? ,
435,0.46,1,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",What is Interact? ,
440,0.37,1,,General_Greetings,"I was getting bored, but now you are here.",How many floors in Rhodanie? ,
442,0.8,0,,General_Greetings,"I was getting bored, but now you are here.",How are you ? ,
445,0.4,1,,Hospitality_GS_Restaurants_information,"<b>Restaurants available:</b><br> If you are based in Rhodanie you have various options. Le 5 is a shop where you can have a quick bite located on the 5th floor, Le Grand Restaurant located on the 4th floor and in finally on the ground floor the Wellness for a healthy and balanced meal. More about restaurants under this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a> <br><br> <b>Menus:</b> <br> You can find daily and weekly information about our menus on our e-gourmet website which you can access through this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a>",How do we get a company appartement? ,
462,0.36,1,,Hospitality_GS_Restaurants_information,"<b>Restaurants available:</b><br> If you are based in Rhodanie you have various options. Le 5 is a shop where you can have a quick bite located on the 5th floor, Le Grand Restaurant located on the 4th floor and in finally on the ground floor the Wellness for a healthy and balanced meal. More about restaurants under this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a> <br><br> <b>Menus:</b> <br> You can find daily and weekly information about our menus on our e-gourmet website which you can access through this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a>",Where can  I find my salary payment? ,
463,0.64,1,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is the portal? ,
464,0.44,1,,Hospitality_GS_Restaurants_information,"<b>Restaurants available:</b><br> If you are based in Rhodanie you have various options. Le 5 is a shop where you can have a quick bite located on the 5th floor, Le Grand Restaurant located on the 4th floor and in finally on the ground floor the Wellness for a healthy and balanced meal. More about restaurants under this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a> <br><br> <b>Menus:</b> <br> You can find daily and weekly information about our menus on our e-gourmet website which you can access through this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a>",Do we have a swimmingpool? ,
465,0.9,0,,General_Ending,Bye bye! Thanks for the chat!,Bye! ,
475,0.81,0,,General_Agent_Purpose,"I can help you mainly with GS service-related questions on topics like transportation (your mobility plan/benefit car), business travel, hospitality and events, gym, mailroom etc. I know also a little about P&C (benfits, destination services) and IS services. ",What kind of questions? ,
479,1,0,,Feedback,I am sorry to hear that,NO ,
482,0.58,0,,General_Agent_Purpose,"I can help you mainly with GS service-related questions on topics like transportation (your mobility plan/benefit car), business travel, hospitality and events, gym, mailroom etc. I know also a little about P&C (benfits, destination services) and IS services. ",What are you doing? ,
488,0.99,0,,General_Ending,Bye bye! Thanks for the chat!,"I am leaving now, see you ",
489,0.8,0,,General_Greetings,"I was getting bored, but now you are here.",How are you? ,
499,0.9,0,,General_Ending,Bye bye! Thanks for the chat!,Bye,
504,1,1,,Feedback,I am sorry to hear that,NO,
506,1,0,,Feedback,I am sorry to hear that,NO,
508,0.31,1,,General_Ending,Bye bye! Thanks for the chat!,What is Time Harmony? ,
509,1,1,,Feedback,I am sorry to hear that,NO ,
527,0.59,0,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is the pigeon hall? ,
551,1,0,,Feedback,I am happy to hear that,YES ,
557,1,0,,Generic_finding_place,"Please consult the <a href=""http://oneplace.pmiapps.biz/collab/HRRS1/GCRL/GS%20Intranet/PMI_Rhodanie_campus_map%2022.03.2018_FINAL.jpg"">Rhodanie building map</a>. ",Where is le 5?,
560,1,0,,Feedback,I am happy to hear that,YES,
562,1,0,,General_Ending,Bye bye! Thanks for the chat!,Goodbye,
563,0.49,1,,Hospitality_GS_Restaurants_information,"<b>Restaurants available:</b><br> If you are based in Rhodanie you have various options. Le 5 is a shop where you can have a quick bite located on the 5th floor, Le Grand Restaurant located on the 4th floor and in finally on the ground floor the Wellness for a healthy and balanced meal. More about restaurants under this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a> <br><br> <b>Menus:</b> <br> You can find daily and weekly information about our menus on our e-gourmet website which you can access through this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a>",DO we need anything ? ,
565,0.33,1,,Hospitality_GS_Restaurants_information,"<b>Restaurants available:</b><br> If you are based in Rhodanie you have various options. Le 5 is a shop where you can have a quick bite located on the 5th floor, Le Grand Restaurant located on the 4th floor and in finally on the ground floor the Wellness for a healthy and balanced meal. More about restaurants under this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a> <br><br> <b>Menus:</b> <br> You can find daily and weekly information about our menus on our e-gourmet website which you can access through this <a href=""https://pmiapps.eldora.ch/lausanne/"">link. </a>",Do we have special access for handicap people? ,
566,0.78,0,,General_Ending,Bye bye! Thanks for the chat!,I have a to go ,
567,0.9,0,,General_Ending,Bye bye! Thanks for the chat!,Bye,
